ID;Dimensão;Subdimensão;Rubrica nome;Rubrica numero;Faixa de pontuação (intervalo de pontuação);Pontos fortes;O que fazer para avançar;Necessidades formativas
29;Dimensão pedagógica;Desenvolvimento profissional docente;Sensibilização – Nível Consolidar;1;0-9 (Consolidar: 0-4);Parabéns! Você já reconhece a importância de apoiar o desenvolvimento profissional docente e se sente preparado(a) para realizar ações pontuais nesse sentido.;Para consolidar este nível, será necessário aprofundar sua compreensão de conceitos fundamentais sobre desenvolvimento docente e fortalecer práticas já iniciadas, como viabilizar ações formativas pontuais e oferecer apoio aos professores, especialmente aos novatos, ainda que focado no acolhimento afetivo. Além disso, será importante se preparar para garantir o tempo de planejamento coletivo dos professores, mesmo que ainda não se sinta pronto(a) para liderá-lo diretamente. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Conceitos e Fundamentos do Desenvolvimento Profissional Docente
•	Definição e importância do Desenvolvimento Profissional Docente
•	A escola como lócus de desenvolvimento profissional
•	O papel da liderança no Desenvolvimento Profissional Docente (papeis e responsabilidades)

Acompanhamento e Apoio Individual aos Professores
•	Introdução a estratégias de “indução” (inserção profissional de professores novatos), contemplando acolhimento afetivo, integração profissional e desenvolvimento de competências"
30;Dimensão pedagógica;Desenvolvimento profissional docente;Sensibilização – Nível Avançar;1;0-9 (Avançar: 5-9);Parabéns! Você já se sente preparado(a) para implementar estratégias básicas de desenvolvimento profissional docente, como viabilizar formações pontuais, especialmente externas, e apoiar professores novatos com acolhimento afetivo. Além disso, você se percebe apto(a) a viabilizar momentos de planejamento coletivo, reconhecendo sua importância para a equipe docente.;Para avançar, será necessário desenvolver seu preparo para atuar de forma mais proativa no desenvolvimento profissional docente. Isso inclui sugerir formações baseadas em diagnósticos das necessidades formativas dos professores, utilizando resultados de aprendizagem dos estudantes para identificá-las. Além disso, você precisará se preparar para promover o uso do tempo de planejamento coletivo como espaço para ações formativas mais estruturadas, favorecendo trocas pedagógicas e reflexões colaborativas. Também será importante se preparar para oferecer devolutivas aos professores a partir de observações de aula, mesmo que de forma inicial. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico das Necessidades Formativas dos Professores
•	Compreensão sobre o que constitui um diagnóstico de necessidades formativas eficaz e sua relevância para o desenvolvimento docente.
•	Análise de dados de aprendizagem dos estudantes para identificar lacunas formativas dos professores

Planejamento e Promoção de Ações de Desenvolvimento Profissional
•	Conhecimento sobre práticas de formação como grupos de estudo, oficinas pedagógicas, encontros reflexivos e mentorias.

Fomento à Colaboração e Aprendizagem Coletiva
•	Mediação de discussões pedagógicas colaborativas, promovendo trocas de experiências e cocriação de soluções educacionais.

Acompanhamento e Apoio Individual aos Professores
•	Técnicas de observação de aula com foco formativo e feedback construtivo."
31;Dimensão pedagógica;Desenvolvimento profissional docente;Exploração – Nível Consolidar;2;10-18 (Consolidar: 10-14);Parabéns! Você já se sente preparado(a) para atuar de forma mais proativa no desenvolvimento profissional docente, organizando diagnósticos iniciais e utilizando o tempo de planejamento coletivo também com finalidades formativas.;Para consolidar este nível, será necessário fortalecer seu preparo para realizar diagnósticos das necessidades formativas dos professores baseados nos resultados de aprendizagem dos estudantes. Também será importante consolidar o uso do tempo de planejamento coletivo, garantindo que ele seja utilizado para estratégias formativas mais intencionais e consistentes. Além disso, será essencial se preparar para oferecer devolutivas a partir de observações de aula, mesmo que de forma inicial. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico das Necessidades Formativas dos Professores
•	Compreensão sobre o que constitui um diagnóstico de necessidades formativas eficaz e sua relevância para o desenvolvimento docente.
•	Análise de dados de aprendizagem dos estudantes para identificar lacunas formativas dos professores

Planejamento e Promoção de Ações de Desenvolvimento Profissional
•	Conhecimento sobre práticas de formação como grupos de estudo, oficinas pedagógicas, encontros reflexivos e mentorias.

Fomento à Colaboração e Aprendizagem Coletiva
•	Mediação de discussões pedagógicas colaborativas, promovendo trocas de experiências e cocriação de soluções educacionais.

Acompanhamento e Apoio Individual aos Professores
•	Técnicas de observação de aula com foco formativo e feedback construtivo."
32;Dimensão pedagógica;Desenvolvimento profissional docente;Exploração – Nível Avançar;2;10-18 (Avançar: 15-18);Parabéns! Você já se sente preparado(a) para atuar de forma mais proativa no desenvolvimento profissional docente, organizando diagnósticos iniciais baseados nos resultados de aprendizagem dos estudantes. Você também se percebe capacitado para utilizar o tempo de planejamento coletivo para ações formativas, ainda que de forma pouco estruturada, e realizar observações pontuais de aula, mesmo que de maneira inicial.;Para avançar, será necessário desenvolver seu preparo para assumir um papel mais estratégico no planejamento do desenvolvimento profissional docente. Isso inclui realizar diagnósticos robustos e sistemáticos que integrem resultados de aprendizagem e práticas pedagógicas, alinhando-os ao PPP. Você também precisará se preparar para implementar estratégias mais estruturadas, como observações de aula com devolutivas consistentes, além de monitorar regularmente as ações formativas para garantir sua eficácia. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico das Necessidades Formativas dos Professores
•	Observações de aula, autoavaliações e entrevistas para avaliar práticas pedagógicas dos professores e identificar necessidades formativas

Fomento à Colaboração e Aprendizagem Coletiva
•	Práticas de mentoria entre pares, com atenção especial a professores em início de carreira.

Planejamento e Promoção de Ações de Desenvolvimento Profissional
•	Elementos de um planejamento formativo de qualidade: definição de objetivos, estratégias, cronogramas, previsão de recursos necessários

Acompanhamento e Apoio Individual aos Professores
•	Ferramentas para acompanhar e monitorar o progresso individual dos docentes de forma estruturada. 

Monitoramento e Avaliação das Ações Formativas
•	Métodos para monitorar a execução das ações formativas e avaliar seus impactos.
•	Utilização de ferramentas o acompanhamento das ações (como planilhas e softwares)
•	Definição de indicadores para medir a eficácia das formações no desenvolvimento docente e na aprendizagem dos estudantes"
33;Dimensão pedagógica;Desenvolvimento profissional docente;Liderança Estratégica – Nível Consolidar;3;19-33 (Consolidar: 19-26);Parabéns! Você já se sente preparado(a) para desempenhar um papel estratégico no desenvolvimento profissional docente, liderando ações formativas estruturadas e promovendo maior alinhamento com o PPP da escola.;Para consolidar este nível, será necessário fortalecer seu preparo para realizar um diagnóstico estruturado das necessidades formativas dos professores a partir da análise das suas práticas pedagógicas e dos resultados de aprendizagem dos estudantes, garantindo que eles orientem o planejamento de ações formativas. Além disso, será importante consolidar sua capacidade de oferecer devolutivas consistentes após observações de aula e monitorar regularmente as ações formativas, promovendo ajustes e incentivando práticas inovadoras. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico das Necessidades Formativas dos Professores
•	Observações de aula, autoavaliações e entrevistas para avaliar práticas pedagógicas dos professores e identificar necessidades formativas

Fomento à Colaboração e Aprendizagem Coletiva
•	Práticas de mentoria entre pares, com atenção especial a professores em início de carreira.

Planejamento e Promoção de Ações de Desenvolvimento Profissional
•	Elementos de um planejamento formativo de qualidade: definição de objetivos, estratégias, cronogramas, previsão de recursos necessários

Acompanhamento e Apoio Individual aos Professores
•	Ferramentas para acompanhar e monitorar o progresso individual dos docentes de forma estruturada. 

Monitoramento e Avaliação das Ações Formativas
•	Métodos para monitorar a execução das ações formativas e avaliar seus impactos.
•	Utilização de ferramentas o acompanhamento das ações (como planilhas e softwares)
•	Definição de indicadores para medir a eficácia das formações no desenvolvimento docente e na aprendizagem dos estudantes"
34;Dimensão pedagógica;Desenvolvimento profissional docente;Liderança Estratégica – Nível Avançar;3;19-33 (Avançar: 27-33);Parabéns! Você já se sente preparado(a) para liderar o desenvolvimento profissional docente de forma estruturada, utilizando diagnósticos sistemáticos para planejar ações formativas alinhadas ao PPP. Você também se avalia apto(a) a promover estratégias regulares de trabalho coletivo e aprendizagem colaborativa, realizar observações de aula com devolutivas consistentes e garantir recursos e tempo adequados para o desenvolvimento profissional contínuo.;Para avançar, será importante desenvolver seu preparo para consolidar uma cultura institucional de desenvolvimento profissional sustentável. Isso inclui realizar diagnósticos e ações formativas como parte da rotina escolar, compartilhando a liderança com professores, envolvendo toda a comunidade escolar e contribuindo para que a escola funcione como uma comunidade de aprendizagem. Também será necessário se preparar para articular-se com a rede e com outras organizações (como universidades, terceiro setor, organizações no território) para estabelecer parcerias que tragam novas perspectivas e recursos para as formações, promovendo maior efetividade e inovação no contexto escolar. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico das Necessidades Formativas dos Professores
•	Abordagens participativas no diagnóstico, promovendo a colaboração entre docentes e comunidade escolar.

Fomento à Colaboração e Aprendizagem Coletiva
•	Criação e fortalecimento de comunidades de prática, grupos de estudo e redes colaborativas entre os professores.
•	Incentivo a práticas pedagógicas inovadoras e à experimentação colaborativa entre os docentes.

Monitoramento e Avaliação das Ações Formativas
•	Envolvimento de professores e comunidade escolar na avaliação e aprimoramento contínuo das formações.

Articulação de Parcerias para Desenvolvimento Profissional
•	Identificação de oportunidades de parceria com universidades, organizações educacionais e redes de ensino (pode incluir exemplos de gestão de parcerias externas para trazer novas perspectivas e recursos para as formações)"
35;Dimensão pedagógica;Desenvolvimento profissional docente;Transformação Cultural – Nível Consolidar;4;34-48 (Consolidar: 34-48);Parabéns! Você já se sente preparado(a) para promover uma cultura institucional de desenvolvimento profissional, envolvendo diferentes atores da comunidade escolar em estratégias de formação contínua e colaborativa.;Para consolidar este nível, será necessário aprofundar seu preparo para estruturar rotinas permanentes de diagnóstico e planejamento, compartilhando a liderança com professores e outros membros da escola e contribuindo para que a escola funcione como uma comunidade de aprendizagem. Também será importante fortalecer a sustentabilidade das práticas formativas, promovendo maior autonomia entre os participantes e institucionalizando valores como colaboração, inovação pedagógica e corresponsabilidade. Além disso, será importante desenvolver ainda mais seu preparo para articular-se com a rede e outras organizações (como universidades, terceiro setor, organizações no território) para estabelecer parcerias que tragam novas perspectivas e recursos para as formações. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico das Necessidades Formativas dos Professores
•	Abordagens participativas no diagnóstico, promovendo a colaboração entre docentes e comunidade escolar.

Fomento à Colaboração e Aprendizagem Coletiva
•	Criação e fortalecimento de comunidades de prática, grupos de estudo e redes colaborativas entre os professores.
•	Incentivo a práticas pedagógicas inovadoras e à experimentação colaborativa entre os docentes.

Monitoramento e Avaliação das Ações Formativas
•	Envolvimento de professores e comunidade escolar na avaliação e aprimoramento contínuo das formações.

Articulação de Parcerias para Desenvolvimento Profissional
•	Identificação de oportunidades de parceria com universidades, organizações educacionais e redes de ensino (pode incluir exemplos de gestão de parcerias externas para trazer novas perspectivas e recursos para as formações)"
36;Dimensão pessoal-relacional;Convivência no ambiente escolar;Sensibilização – Nível Consolidar;1;0-9 (Consolidar: 0-4);Parabéns! Você já reconhece a importância de promover um ambiente escolar seguro, inclusivo e acolhedor e demonstra compromisso em implementar práticas básicas para melhorar a convivência na escola. Este é um passo inicial relevante para assegurar um ambiente propício à aprendizagem e ao bem-estar de toda a comunidade escolar.;Para consolidar este nível, será importante aprofundar seu conhecimento sobre os fundamentos conceituais e legais da convivência, bem como fortalecer seu preparo para implementar algumas práticas básicas ou emergenciais. Isso inclui estar capacitado para compreender e aplicar políticas e programas da rede de ensino voltados à promoção da convivência, aplicar sanções para condutas prejudiciais ao ambiente escolar e encaminhar casos críticos, como situações de violência ou autolesão, para os serviços de proteção social competentes. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Fundamentos Conceituais e Legais da Convivência Escolar e Diversidade

•	Conceito de convivência escolar: Definições e princípios de convivência democrática, clima escolar e cultura de paz, e sua relação com a aprendizagem.

•	Conceitos de diversidade, inclusão, discriminação e estigmatização, destacando sua relevância no contexto escolar.

•	Compreensão das diferentes formas de violência e discriminação:
o	Violências estruturais, como racismo, machismo, LGBTfobia, gordofobia e capacitismo.
o	Outras formas de violência, como bullying e ciberagressões, e suas implicações no ambiente escolar.

•	Legislação e normativas relevantes: Conhecimento sobre marcos legais e políticas educacionais relacionadas à convivência escolar e à promoção da diversidade, como:
o	O que diz LDB, ECA, PNE e outras normativas aplicáveis.
o	Lei nº 10.639/2003 e Lei nº 11.645/2008: Obrigatoriedade do ensino de história e cultura afro-brasileira, africana e indígena no currículo escolar.
o	Lei nº 13.185/2015: Institui o Programa de Combate à Intimidação Sistemática (bullying).

•	Programas e estratégias educacionais: Iniciativas do MEC e das redes de ensino voltadas à convivência democrática e à promoção da diversidade.

Comportamentos de Risco e Articulação com a Rede de Proteção Social
o	Articulação com a rede de proteção social para encaminhamento e acompanhamento de casos."
37;Dimensão pessoal-relacional;Convivência no ambiente escolar;Sensibilização – Nível Avançar;1;0-9 (Avançar: 5-9);Parabéns! Você já se sente preparado(a) para implementar políticas e programas da rede de ensino voltados à convivência escolar. Além disso, percebe-se preparado(a) para realizar intervenções importantes, como aplicar sanções para atitudes prejudiciais à convivência e encaminhar casos críticos de comportamento de risco para a rede de proteção social. Essas ações são fundamentais para garantir um ambiente escolar seguro e estruturado.;Para avançar, será importante fortalecer sua capacidade de diagnosticar problemas de convivência escolar, mesmo que de forma não estruturada, e começar a planejar ações preventivas. Isso inclui se preparar para desenvolver normas básicas de convivência, como regras de comportamento em sala de aula, e para promover ações preventivas, como rodas de conversa e encontros temáticos sobre convivência. Também será essencial aprimorar sua habilidade para dialogar com a comunidade escolar, fomentando a adesão às normas e fortalecendo o senso de corresponsabilidade. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico de Problemas de Convivência Escolar
•	Técnicas para identificar problemas de convivência escolar, utilizando dados qualitativos e quantitativos, além de métodos participativos.

Comportamentos de Risco e Articulação com a Rede de Proteção Social
o	Identificação de sinais de comportamentos de risco, como violência, bullying, uso de substâncias e autolesão.
o	Conhecimento sobre fatores de proteção e estratégias preventivas no contexto escolar.

Criação e Gestão de Normas de Convivência
o	Métodos para liderar a construção coletiva de normas de convivência escolar.

Promoção de Ações Educativas para a Convivência
o	Metodologias educativas: Repertório de estratégias para planejar e implementar ações como projetos, rodas de conversa e campanhas sobre temas de convivência e inclusão.

Engajamento e Corresponsabilidade da Comunidade Escolar
o	Comunicação eficaz: Ferramentas e abordagens para manter um diálogo contínuo e significativo com a comunidade escolar sobre as normas e ações de convivência."
38;Dimensão pessoal-relacional;Convivência no ambiente escolar;Exploração – Nível Consolidar;2;10-21 (Consolidar: 10-16);Ótimo trabalho! Você já se sente preparado(a) para adotar uma postura mais proativa, identificando problemas de convivência e propondo ações preventivas, ainda que de forma pouco estruturada;Para consolidar este nível, será necessário aprimorar sua capacidade de diagnosticar problemas de convivência escolar, mesmo que de forma não estruturada, e promover ações preventivas como rodas de conversa e encontros temáticos sobre convivência. Também será importante fortalecer sua habilidade para desenvolver normas básicas de convivência, como regras de comportamento em sala de aula, e dialogar com a comunidade escolar, fomentando a adesão a essas normas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico de Problemas de Convivência Escolar
•	Técnicas para identificar problemas de convivência escolar, utilizando dados qualitativos e quantitativos, além de métodos participativos.

Comportamentos de Risco e Articulação com a Rede de Proteção Social
o	Identificação de sinais de comportamentos de risco, como violência, bullying, uso de substâncias e autolesão.
o	Conhecimento sobre fatores de proteção e estratégias preventivas no contexto escolar.

Criação e Gestão de Normas de Convivência
o	Métodos para liderar a construção coletiva de normas de convivência escolar.

Promoção de Ações Educativas para a Convivência
o	Metodologias educativas: Repertório de estratégias para planejar e implementar ações como projetos, rodas de conversa e campanhas sobre temas de convivência e inclusão.

Engajamento e Corresponsabilidade da Comunidade Escolar
o	Comunicação eficaz: Ferramentas e abordagens para manter um diálogo contínuo e significativo com a comunidade escolar sobre as normas e ações de convivência."
39;Dimensão pessoal-relacional;Convivência no ambiente escolar;Exploração – Nível Avançar;2;10-21 (Avançar: 17-21);Muito bem! Você já se sente preparado(a) para diagnosticar problemas de convivência escolar e iniciar o planejamento de ações preventivas. Também se percebe capacitado(a) para desenvolver normas básicas de convivência e de promover ações voltadas à prevenção, como rodas de conversa e encontros temáticos. Além disso, você se avalia apto(a) a dialogar com a comunidade escolar, incentivando a adesão às normas de convivência.;Para avançar, será necessário aprimorar seu preparo para planejar ações mais estruturadas, integrando-as ao PPP e ao planejamento pedagógico, com base em diagnósticos mais detalhados. Também será importante fortalecer sua habilidade de liderar o desenvolvimento coletivo de normas de convivência, garantindo a participação ativa de estudantes, professores e famílias. Além disso, será essencial ampliar sua capacidade de promover formações regulares para a equipe escolar, implementar ações educativas integradas ao planejamento pedagógico, como projetos voltados ao fortalecimento de habilidades socioemocionais, e monitorar sistematicamente os resultados das práticas de convivência, ajustando estratégias com base nos dados coletados para promover melhorias contínuas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"
Planejamento de Ações para a Convivência Escolar
o	Estratégias para planejar ações estruturadas e integradas ao PPP e ao planejamento pedagógico, com definição de metas, cronogramas e indicadores.

Gestão de Conflitos e Justiça Restaurativa
o	Conceitos e metodologias de mediação de conflitos e justiça restaurativa.
o	Aplicação de práticas de justiça restaurativa no contexto escolar (círculos restaurativos, mediação)

Promoção de Ações Educativas para a Convivência
o	Educação socioemocional: Fundamentos e estratégias para o desenvolvimento de competências socioemocionais, como empatia, autorregulação e trabalho em equipe.
o	Articulação com o currículo e o PPP: Planejamento e implementação de ações educativas integradas ao planejamento pedagógico e alinhadas às políticas educacionais.

Formação Continuada para a Equipe Escolar
o	Práticas éticas, inclusivas e alinhadas ao PPP: Capacitação da equipe para adotar metodologias pedagógicas que promovam a inclusão, o desenvolvimento integral e o bem-estar dos estudantes.
o	Planejamento e condução de formações: Métodos para organizar formações regulares, como oficinas e debates, alinhadas às necessidades da equipe e às metas pedagógicas da escola.

Engajamento e Corresponsabilidade da Comunidade Escolar
o	Participação e corresponsabilidade: Estratégias para engajar estudantes, famílias e educadores na construção de um ambiente escolar acolhedor e seguro.

Monitoramento e Avaliação de Práticas de Convivência Escolar
o	Métodos e ferramentas de monitoramento e avaliação: Estratégias e instrumentos para acompanhar a implementação e os resultados das práticas de convivência escolar.
o	Criação de indicadores: Definição e utilização de indicadores qualitativos e quantitativos para avaliar a eficácia das ações de convivência e orientar ajustes
"
40;Dimensão pessoal-relacional;Convivência no ambiente escolar;Liderança – Nível Consolidar;3;22-36 (Consolidar: 22-29);Parabéns! Você já se sente preparado(a) para assumir um papel mais estratégico, estruturando e sistematizando diagnósticos e ações, envolvendo a comunidade em processos mais integrados e estratégicos e promovendo o seu monitoramento.;Para consolidar este nível, será essencial fortalecer seu preparo para planejar ações estruturadas e integradas ao PPP e ao planejamento pedagógico, de modo a abordar os problemas de convivência identificados no diagnóstico. Isso inclui ampliar sua capacidade de implementar ações educativas, como projetos voltados ao fortalecimento de habilidades socioemocionais. Também será importante aprimorar sua habilidade de liderar o desenvolvimento coletivo de normas de convivência, assegurando a participação ativa de estudantes, professores e famílias, além de promover formações regulares para a equipe escolar, como oficinas sobre práticas inclusivas e justiça restaurativa. Por fim, será relevante aprofundar seu preparo para monitorar sistematicamente os resultados das práticas de convivência e ajustar estratégias com base nos dados coletados. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Planejamento de Ações para a Convivência Escolar
o	Estratégias para planejar ações estruturadas e integradas ao PPP e ao planejamento pedagógico, com definição de metas, cronogramas e indicadores.

Gestão de Conflitos e Justiça Restaurativa
o	Conceitos e metodologias de mediação de conflitos e justiça restaurativa.
o	Aplicação de práticas de justiça restaurativa no contexto escolar (círculos restaurativos, mediação)

Promoção de Ações Educativas para a Convivência
o	Educação socioemocional: Fundamentos e estratégias para o desenvolvimento de competências socioemocionais, como empatia, autorregulação e trabalho em equipe.
o	Articulação com o currículo e o PPP: Planejamento e implementação de ações educativas integradas ao planejamento pedagógico e alinhadas às políticas educacionais.

Formação Continuada para a Equipe Escolar
o	Práticas éticas, inclusivas e alinhadas ao PPP: Capacitação da equipe para adotar metodologias pedagógicas que promovam a inclusão, o desenvolvimento integral e o bem-estar dos estudantes.
o	Planejamento e condução de formações: Métodos para organizar formações regulares, como oficinas e debates, alinhadas às necessidades da equipe e às metas pedagógicas da escola.

Engajamento e Corresponsabilidade da Comunidade Escolar
o	Participação e corresponsabilidade: Estratégias para engajar estudantes, famílias e educadores na construção de um ambiente escolar acolhedor e seguro.

Monitoramento e Avaliação de Práticas de Convivência Escolar
o	Métodos e ferramentas de monitoramento e avaliação: Estratégias e instrumentos para acompanhar a implementação e os resultados das práticas de convivência escolar.
o	Criação de indicadores: Definição e utilização de indicadores qualitativos e quantitativos para avaliar a eficácia das ações de convivência e orientar ajustes
"
41;Dimensão pessoal-relacional;Convivência no ambiente escolar;Liderança – Nível Avançar;3;30-36;Parabéns! Você já se sente preparado(a) para liderar práticas de convivência escolar de forma estratégica e estruturada. Isso inclui realizar diagnósticos contínuos, planejar ações integradas ao PPP e ao planejamento pedagógico, promover formações regulares para a equipe escolar e implementar ações educativas, como projetos voltados ao fortalecimento de habilidades socioemocionais. Além disso, você já se percebe capacitado(a) para monitorar os resultados das práticas de convivência e ajusta estratégias com base nos dados coletados.;Para avançar, será essencial consolidar essas práticas como parte da cultura institucional da escola. Isso envolve fortalecer seu preparo para institucionalizar normas de convivência e estratégias de resolução de conflitos, formalizando-as em documentos oficiais e registrando as aprendizagens. Também será importante assegurar que as práticas, os espaços e os materiais escolares reflitam e valorizem a diversidade de gênero, raça e outras identidades, promovendo representatividade e inclusão. Por fim, será necessário ampliar sua capacidade de promover a distribuição de liderança na gestão da convivência escolar, envolvendo diferentes membros da comunidade escolar para garantir corresponsabilidade e sustentabilidade das ações. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"o	Garantia de práticas, espaços e materiais inclusivos e representativos: Ações para assegurar que práticas pedagógicas, espaços e materiais escolares reflitam e valorizem a diversidade de gênero, raça e outras identidades, garantindo representatividade e sendo livres de estereótipos.

Engajamento e Corresponsabilidade da Comunidade Escolar
o	Institucionalização: Métodos para formalizar normas e estratégias em documentos oficiais e registrar aprendizagens para promover uma cultura de convivência democrática.
o	Distribuição de liderança: Técnicas para delegar responsabilidades e envolver diferentes membros da equipe e da comunidade escolar na liderança das práticas de convivência, garantindo maior comprometimento e autonomia."
42;Dimensão pessoal-relacional;Convivência no ambiente escolar;Transformação Cultural  – Nível Consolidar;4;37-45;Fantástico! Você já se sente preparado(a) para consolidar práticas eficazes de convivência escolar como parte da cultura institucional garantindo a sustentabilidade das ações e a corresponsabilidade da comunidade.;Para consolidar este nível, será necessário aprimorar seu preparo para garantir a institucionalização de normas de convivência e estratégias de resolução de conflitos, formalizando-as em documentos oficiais e registrando as aprendizagens geradas. Também será importante fortalecer sua capacidade de assegurar que as práticas, os espaços e os materiais escolares reflitam e valorizem a diversidade de gênero, raça e outras identidades, promovendo representatividade e inclusão. Além disso, será essencial ampliar suas habilidades para promover a distribuição de liderança na gestão da convivência escolar, envolvendo diferentes membros da equipe e da comunidade escolar na aplicação das ações, garantindo corresponsabilidade e sustentabilidade. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Promoção de Ações Educativas para a Convivência
o	Garantia de práticas, espaços e materiais inclusivos e representativos: Ações para assegurar que práticas pedagógicas, espaços e materiais escolares reflitam e valorizem a diversidade de gênero, raça e outras identidades, garantindo representatividade e sendo livres de estereótipos.

Engajamento e Corresponsabilidade da Comunidade Escolar
o	Institucionalização: Métodos para formalizar normas e estratégias em documentos oficiais e registrar aprendizagens para promover uma cultura de convivência democrática.
o	Distribuição de liderança: Técnicas para delegar responsabilidades e envolver diferentes membros da equipe e da comunidade escolar na liderança das práticas de convivência, garantindo maior comprometimento e autonomia."
